recommendation_id,recommendation_type,sku_id,lot_id,source_location_id,target_location_id,proposed_qty,adjusted_qty,reason,status,created_at,data_status
REC0023,REPLENISHMENT,SKU018,LOT0069,LOC01,LOC01,4395,3516,Projected shortage of 4395 units over the remaining 81-day horizon.,APPROVED,2026-08-04T17:00:00,synthetic
REC0024,REPLENISHMENT,SKU018,LOT0070,LOC01,LOC01,3805,3805,Projected shortage of 3805 units over the remaining 72-day horizon.,REJECTED,2026-08-04T16:00:00,synthetic
REC0025,REPLENISHMENT,SKU018,LOT0071,LOC01,LOC01,7023,7023,Projected shortage of 7023 units over the remaining 128-day horizon.,REJECTED,2026-08-04T15:00:00,synthetic
REC0026,REPLENISHMENT,SKU018,LOT0072,LOC01,LOC01,7755,7755,Projected shortage of 7755 units over the remaining 145-day horizon.,PENDING,2026-08-04T14:00:00,synthetic
REC0027,EXPIRY_ACTION,SKU019,LOT0073,LOC01,,867,867,Projected surplus of 867 units before expiry; 23 days remaining.,PENDING,2026-08-04T13:00:00,synthetic
REC0028,REPLENISHMENT,SKU022,LOT0085,LOC01,LOC01,4960,4960,Projected shortage of 4960 units over the remaining 112-day horizon.,REJECTED,2026-08-04T12:00:00,synthetic
REC0029,REPLENISHMENT,SKU022,LOT0086,LOC01,LOC01,5811,5811,Projected shortage of 5811 units over the remaining 133-day horizon.,PENDING,2026-08-04T11:00:00,synthetic
REC0030,REPLENISHMENT,SKU022,LOT0087,LOC01,LOC01,7487,5989,Projected shortage of 7487 units over the remaining 171-day horizon.,APPROVED,2026-08-04T10:00:00,synthetic
REC0031,REPLENISHMENT,SKU022,LOT0088,LOC01,LOC01,4985,3988,Projected shortage of 4985 units over the remaining 114-day horizon.,APPROVED,2026-08-04T09:00:00,synthetic
REC0032,EXPIRY_ACTION,SKU023,LOT0090,LOC01,,431,431,Projected surplus of 431 units before expiry; 24 days remaining.,PENDING,2026-08-04T08:00:00,synthetic
REC0033,REPLENISHMENT,SKU026,LOT0101,LOC01,LOC01,3200,3200,Projected shortage of 3200 units over the remaining 102-day horizon.,PENDING,2026-08-04T07:00:00,synthetic
REC0034,REPLENISHMENT,SKU026,LOT0102,LOC01,LOC01,4864,4864,Projected shortage of 4864 units over the remaining 157-day horizon.,PENDING,2026-08-04T06:00:00,synthetic
REC0035,REPLENISHMENT,SKU026,LOT0103,LOC01,LOC01,2814,2814,Projected shortage of 2814 units over the remaining 94-day horizon.,PENDING,2026-08-04T05:00:00,synthetic
REC0036,REPLENISHMENT,SKU026,LOT0104,LOC01,LOC01,5533,4426,Projected shortage of 5533 units over the remaining 177-day horizon.,APPROVED,2026-08-04T04:00:00,synthetic
REC0037,REPLENISHMENT,SKU030,LOT0117,LOC01,LOC01,8174,8174,Projected shortage of 8174 units over the remaining 139-day horizon.,REJECTED,2026-08-04T03:00:00,synthetic
REC0038,REPLENISHMENT,SKU030,LOT0118,LOC01,LOC01,7298,5838,Projected shortage of 7298 units over the remaining 124-day horizon.,APPROVED,2026-08-04T02:00:00,synthetic
REC0039,REPLENISHMENT,SKU030,LOT0119,LOC01,LOC01,6559,6559,Projected shortage of 6559 units over the remaining 112-day horizon.,PENDING,2026-08-04T01:00:00,synthetic
REC0040,REPLENISHMENT,SKU030,LOT0120,LOC01,LOC01,9710,9710,Projected shortage of 9710 units over the remaining 160-day horizon.,PENDING,2026-08-04T00:00:00,synthetic
